measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia & Pacific - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.004355488725840914,0.0055747846807891,0.0035795751319381516
Deaths,East Asia & Pacific - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.002316022628444995,0.0026221328185156213,0.002052042389648293
Deaths,East Asia & Pacific - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.006539014628814237,0.007974113712186889,0.005392593307865374
Deaths,East Asia & Pacific - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.0026677915661035044,0.0029501540372358697,0.002417720224943601
Deaths,East Asia & Pacific - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.00759750750597053,0.010585769742739925,0.006359210432381261
Deaths,East Asia & Pacific - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.002744876273607569,0.00304993458559943,0.002468063308366532
Deaths,East Asia & Pacific - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.007306914532415009,0.010301146955348365,0.0062565966877196795
Deaths,East Asia & Pacific - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.002149168823925341,0.0023669487098647787,0.001944696715318334
Deaths,East Asia & Pacific - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.006104888626808056,0.00787897013220907,0.005236814753289577
Deaths,East Asia & Pacific - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.0015024132170540598,0.0016570624461814693,0.0013575017854356604
Deaths,East Asia & Pacific - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.0040569091398649434,0.0053784829330495824,0.003507955352150903
Deaths,East Asia & Pacific - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.0010505228634402435,0.0011612837520241942,0.0009556720696605307
Deaths,East Asia & Pacific - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.002700133234632158,0.0034855743584599834,0.002361885538373279
Deaths,East Asia & Pacific - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.0007119145503455171,0.0007813144670970714,0.0006481009130628789
Deaths,East Asia & Pacific - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.0016212162752838543,0.0021225508009055506,0.0014295554591553397
Deaths,East Asia & Pacific - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.0004564528203411749,0.0005110584636673736,0.0004159426769173292
Deaths,East Asia & Pacific - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.0009387619993701704,0.0012775390057970129,0.0008270141076754672
Deaths,East Asia & Pacific - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.00035693965339614385,0.00040468331185918634,0.000324657173658097
Deaths,East Asia & Pacific - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.006830557905152732,0.008145137604146839,0.005435396571676437
Deaths,East Asia & Pacific - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.007066221381011956,0.008639855665564643,0.005547256144457334
Deaths,East Asia & Pacific - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.008839857717427286,0.010518746724586579,0.007262844997594574
Deaths,East Asia & Pacific - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.008270746838494668,0.009859139939139852,0.006897937058056988
Deaths,East Asia & Pacific - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.006745077948800964,0.007984642603733775,0.005665262626329587
Deaths,East Asia & Pacific - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.007136119293586081,0.00841599436608739,0.006060255325520721
Deaths,East Asia & Pacific - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.004933674779693103,0.005711136140457659,0.0040935519257497225
Deaths,East Asia & Pacific - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.004075392785465857,0.004825805054785571,0.0034361972898815495
Deaths,East Asia & Pacific - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.0030221760866280993,0.0035841268231869314,0.002497272360169294
Deaths,East Asia & Pacific - WB,Female,45 to 49,Opioid use disorders,Percent,1990,0.002349694468534477,0.002821749191467582,0.0019610604935473537
Deaths,East Asia & Pacific - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.0020984939284622293,0.002443015144664484,0.0017914622686436628
