"instance","label","avgx1","avgx2","avgx3","avgx4","avgx5","avgx6","avgx7","avgx8","avgx9","avgx10","avgx11","avgx12","avgx13","avgx14","avgx15","avgx16","avgx17","avgx18","avgx19","avgx20","avgx21","avgx22","avgx23","avgx24","avgx25","avgx26","avgx27","avgx28","avgy1","avgy2","avgy3","avgy4","avgy5","avgy6","avgy7","avgy8","avgy9","avgy10","avgy11","avgy12","avgy13","avgy14","avgy15","avgy16","avgy17","avgy18","avgy19","avgy20","avgy21","avgy22","avgy23","avgy24","avgy25","avgy26","avgy27","avgy28","transx1","transx2","transx3","transx4","transx5","transx6","transx7","transx8","transx9","transx10","transx11","transx12","transx13","transx14","transx15","transx16","transx17","transx18","transx19","transx20","transx21","transx22","transx23","transx24","transx25","transx26","transx27","transx28","transy1","transy2","transy3","transy4","transy5","transy6","transy7","transy8","transy9","transy10","transy11","transy12","transy13","transy14","transy15","transy16","transy17","transy18","transy19","transy20","transy21","transy22","transy23","transy24","transy25","transy26","transy27","transy28"
1,5,0,0,0,0,6.82142857142857,15.1785714285714,17.75,26.5714285714286,45.5,50.6785714285714,56.5357142857143,74.8928571428571,91.5,96.3214285714286,77.7142857142857,77.2857142857143,85.6785714285714,93.5,62.6785714285714,40.4285714285714,20.25,19.75,17.1785714285714,6.82142857142857,0,0,0,0,0,0,0,49.6428571428571,66.1785714285714,60.8571428571429,56.9642857142857,58.9285714285714,57.3928571428571,38.3571428571429,29.1071428571429,28.6071428571429,32.6428571428571,34.6785714285714,27.5,18.7142857142857,20.8571428571429,18.2857142857143,45.0714285714286,84.6428571428571,104.071428571429,103.571428571429,46.9642857142857,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2,0,0,0,0,0,0,0,21.9642857142857,80.1785714285714,95.6071428571429,69.5,58.1428571428571,61.25,63.3571428571429,63.3571428571429,57.25,64.2857142857143,77.8571428571429,72.8214285714286,52.8214285714286,57.8214285714286,100.571428571429,79.4285714285714,34.3214285714286,0,0,0,0,0,0,0,0,0,38.8571428571429,66.6428571428571,84.5357142857143,71.2857142857143,47.5357142857143,40,44.5,42.3214285714286,47.8214285714286,48.0357142857143,47.2857142857143,53.3928571428571,58.9642857142857,62.2857142857143,76.0357142857143,85.0357142857143,70.1428571428571,56.1785714285714,45.6785714285714,24,0,0,0,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
3,4,0,0,0,28.3214285714286,80.8214285714286,56.5,13.7142857142857,13.7142857142857,13.7142857142857,17.0357142857143,14.3214285714286,15.0714285714286,13.7142857142857,12.4285714285714,13.7142857142857,12.4285714285714,12.4285714285714,62.25,114.142857142857,98.9642857142857,60.8214285714286,36.0714285714286,4.21428571428571,0,0,0,0,0,0,0,0,17.9642857142857,20.6071428571429,20.5714285714286,18.5357142857143,18.5,17.1428571428571,17.1428571428571,20,61.9285714285714,114.5,86.9285714285714,48.25,42.2142857142857,38.3571428571429,34.3571428571429,33.8214285714286,29.5,24.7857142857143,17.2142857142857,12.0714285714286,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
4,1,0,0,0,0,0,0,0,0,7.14285714285714,38.6428571428571,64.3571428571429,73.7857142857143,61.7857142857143,51.9642857142857,50.5357142857143,48.75,44.9285714285714,47.8214285714286,49.1428571428571,37.8571428571429,28.2857142857143,6.96428571428571,0,0,0,0,0,0,0,0,0,24.6428571428571,28.1428571428571,28.1428571428571,33,33.9642857142857,30.1428571428571,33.7142857142857,33.6785714285714,33.6785714285714,33.9285714285714,28.1071428571429,28.8214285714286,30.9642857142857,29.4642857142857,30.3571428571429,31.5714285714286,28.75,33.7142857142857,32.3571428571429,24.8214285714286,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,9,0,0,0,0,0,0,1.92857142857143,32,49.1428571428571,46.8571428571429,43.8571428571429,44.4642857142857,43.8214285714286,53.0714285714286,116.392857142857,133.892857142857,98.6428571428571,71.9285714285714,46,34.2142857142857,12.8571428571429,0,0,0,0,0,0,0,0,16.25,22.5357142857143,20.6785714285714,18.7857142857143,20.5,22.5714285714286,21.3214285714286,18.7857142857143,21.3214285714286,24.25,55.3928571428571,87.2857142857143,70.2857142857143,57.0357142857143,54.4285714285714,56.9642857142857,58.5357142857143,58.2142857142857,76.7142857142857,47.2142857142857,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
6,2,0,0,0,0,0,19.9642857142857,35.3571428571429,45.5357142857143,44.3571428571429,53.25,70.6785714285714,65.1785714285714,70.1428571428571,76.4285714285714,73.1428571428571,73,61.5,73.5357142857143,108.428571428571,91.6785714285714,30.3928571428571,18.6071428571429,17.7857142857143,17.1785714285714,11.0357142857143,0,0,0,0,0,0,0,0,14.25,55.3214285714286,72.5714285714286,74.4642857142857,98.5,97.0714285714286,75,81.3928571428571,63.2857142857143,40.1785714285714,25.75,32.0714285714286,62.25,69.6785714285714,71.7857142857143,67.8571428571429,46.2142857142857,9.53571428571429,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
7,1,0,0,0,0,0,0,0,0,0,0,0,3.03571428571429,44.2142857142857,135.928571428571,160.357142857143,140.321428571429,93.3571428571429,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9285714285714,30.8928571428571,34.5357142857143,36.2142857142857,36.0357142857143,37.4642857142857,37.5357142857143,33.25,30.8928571428571,30.8928571428571,30.8928571428571,31.0357142857143,30.8928571428571,35.3571428571429,32.3928571428571,27.9642857142857,25.7142857142857,27.2142857142857,30.1785714285714,22.9285714285714,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
8,3,0,0,0,0,0,18.7857142857143,30.5714285714286,42.3571428571429,36.2142857142857,61.8571428571429,79.8214285714286,81.6428571428571,76.5714285714286,77.25,90.5,98.7857142857143,111.571428571429,132.107142857143,142.285714285714,91.2142857142857,68.5,35.9642857142857,4.96428571428571,0,0,0,0,0,0,0,0,32,74.3214285714286,102.428571428571,93.7857142857143,60.2142857142857,35.9642857142857,23.7142857142857,21.1785714285714,39.3928571428571,93.6071428571429,87.8928571428571,75.4642857142857,54.25,37.3928571428571,34.8571428571429,36.0357142857143,93.8571428571429,116.5,100.75,67.3571428571429,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
9,1,0,0,0,0,0,0,0,0,0,0,0,0,4.32142857142857,91.3928571428571,161.428571428571,117.571428571429,13.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5714285714286,18.4642857142857,17.1428571428571,13.7857142857143,14.0357142857143,22.0714285714286,22.0357142857143,21.8928571428571,21.6785714285714,24,21.2142857142857,20.5357142857143,20.5357142857143,23.2857142857143,22.7142857142857,20.8928571428571,20.6071428571429,20.5714285714286,18.8571428571429,9.46428571428571,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
10,4,0,0,0,0,0,0,13.8571428571429,21.3214285714286,24.75,27.8928571428571,42.5714285714286,71.2142857142857,98.6785714285714,94.25,49.1428571428571,30.1428571428571,39.8214285714286,51.3928571428571,45.7142857142857,41.3928571428571,45.3214285714286,36.9285714285714,32.5714285714286,15.3214285714286,0,0,0,0,0,0,0,0,16.2857142857143,22.5,22.5714285714286,22.5714285714286,22.6428571428571,31.3214285714286,68.5,94.2857142857143,88.5714285714286,65.1428571428571,49.25,42.9285714285714,44.5357142857143,41.3571428571429,38.4642857142857,30.5,22.5357142857143,25.3928571428571,19.3928571428571,13.5357142857143,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
