Category	ID	ave	Epigenetic_status	Transcription_status
High_CAGE_Active	CE10	1.78256823	Active	Active
High_CAGE_Active	CE11	0.374673408	Active	Active
High_CAGE_Active	CE12	0.806495571	Active	Active
High_CAGE_Active	CE13	1.403744557	Active	Active
High_CAGE_Active	CE25	15.61011133	Active	Active
High_CAGE_Active	CE26	4.532523372	Active	Active
High_CAGE_Active	CE28	0.797357771	Active	Active
No_CAGE_Active	CE14	7.55871531	Active	None
No_CAGE_Active	CE15	0.536102764	Active	None
No_CAGE_Active	CE16	1.1420329	Active	None
No_CAGE_Active	CE17	1.21454471	Active	None
No_CAGE_Active	CE18	3.775439262	Active	None
No_CAGE_Active	CE19	1.219939079	Active	None
No_CAGE_Active	CE20	2.122018115	Active	None
No_CAGE_Active	CE21	1.996510525	Active	None
No_CAGE_Active	CE22	1.593271825	Active	None
High_CAGE_Repressed	CE30	3.806552714	Repressed	Active
High_CAGE_Repressed	CE33	0.432066386	Repressed	Active
High_CAGE_Repressed	CE34	0.429981763	Repressed	Active
High_CAGE_Repressed	CE35	1.164918136	Repressed	Active
High_CAGE_Repressed	CE36	0.876604278	Repressed	Active
High_CAGE_Repressed	CE38	0.733986815	Repressed	Active
No_CAGE_Repressed	CE39	0.411259768	Repressed	None
No_CAGE_Repressed	CE42	0.330570488	Repressed	None
No_CAGE_Repressed	CE43	1.238658207	Repressed	None
No_CAGE_Repressed	CE44	0.976605661	Repressed	None
No_CAGE_Repressed	CE45	0.964092036	Repressed	None
No_CAGE_Repressed	CE46	0.422071512	Repressed	None
No_CAGE_Repressed	CE47	2.873260924	Repressed	None
No_CAGE_Repressed	CE23	1.315696327	Repressed	None
No_CAGE_Repressed	CE24	1.770244034	Repressed	None
High_CAGE_Active	CE49	1.608572454	Active	Active
High_CAGE_Active	CE50	6.953181208	Active	Active
High_CAGE_Active	CE51	1.048023673	Active	Active
High_CAGE_Active	CE52	5.861074208	Active	Active
High_CAGE_Active	CE53	1.465550515	Active	Active
High_CAGE_Active	CE54	3.006704646	Active	Active
High_CAGE_Active	CE55	20.22413607	Active	Active
High_CAGE_Active	CE56	18.29315747	Active	Active
High_CAGE_Active	CE57	0.823974218	Active	Active
No_CAGE_Active	CE58	1.713718969	Active	None
No_CAGE_Active	CE59	1.230301381	Active	None
No_CAGE_Active	CE60	1.073574813	Active	None
No_CAGE_Active	CE61	2.635130774	Active	None
No_CAGE_Active	CE65	0.974976273	Active	None
No_CAGE_Active	CE66	0.413896199	Active	None
No_CAGE_Active	CE67	6.396691383	Active	None
