YEAR	TEST.ID	BLOCK	TRAP	TRAP_TYPE	TEST.DATE	NUMBER.OF.MOSQUITOES	SPECIES	LOCATION	LATITUDE	LONGITUDE
1	2019	49933	62XX N MCCLELLAN AVE	T236	GRAVID	2019-09-26 12:09:00	3	CULEX RESTUANS	41.99496630402897, -87.77083721987879	41.994966304029	-87.7708372198788
2	2019	49952	17XX N PULASKI RD	T039	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.91356758228873, -87.72630030176042	41.9135675822887	-87.7263003017604
3	2019	49966	11XX W CHICAGO AVE	T049	GRAVID	2019-09-26 12:09:00	12	CULEX PIPIENS/RESTUANS	41.896131092623506, -87.65676212387862	41.8961310926235	-87.6567621238786
4	2019	49984	63XX W 64TH ST	T155	GRAVID	2019-09-26 12:09:00	4	CULEX PIPIENS/RESTUANS	41.77600539167921, -87.77940766760916	41.7760053916792	-87.7794076676092
5	2019	50009	17XX W 95TH ST	T094	GRAVID	2019-09-26 12:09:00	6	CULEX PIPIENS/RESTUANS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
6	2019	49929	71XX N HARLEM AVE	T233	GRAVID	2019-09-26 12:09:00	23	CULEX PIPIENS/RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
7	2019	49918	41XX N OAK PARK AVE	T002	GRAVID	2019-09-26 12:09:00	35	CULEX PIPIENS/RESTUANS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
8	2019	49998	64XX S STONY ISLAND AVE	T077	GRAVID	2019-09-26 12:09:00	34	CULEX PIPIENS/RESTUANS	41.778128857884745, -87.58624503516381	41.7781288578847	-87.5862450351638
9	2019	49936	58XX N PULASKI RD	T027	GRAVID	2019-09-26 12:09:00	8	CULEX PIPIENS/RESTUANS	41.986319851449004, -87.72837845617912	41.986319851449	-87.7283784561791
10	2019	49995	39XX S ASHLAND AVE	T074	GRAVID	2019-09-26 12:09:00	11	CULEX PIPIENS/RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
11	2019	49951	14XX N HUMBOLDT DR	T033	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.90728487283588, -87.701394636759	41.9072848728359	-87.701394636759
